Code_Pays,Pays,Annee,Credit_Secteur_Prive_pct_PIB,Croissance_PIB_pct,Inflation_pct,PIB_USD,Reserves_Change_USD,Solde_Courant_pct_PIB
CMR,Cameroun,1978,25.3582966679572,22.0030049229664,12.4630523441787,4662852583.13256,55673755.7935937,-3.99667673148853
CMR,Cameroun,1979,25.7128098127311,6.03511877346806,6.58061081902716,5919002982.602,140905982.416779,-2.12332523271847
CMR,Cameroun,1980,29.542831264886,-1.9652916680455,9.55175427642866,6674569046.6832,206367217.764679,-6.67311213185183
CMR,Cameroun,1981,31.1556453856872,17.0826822487652,10.7275000000004,6610938616.6643,96992136.091978,-7.28598538312338
CMR,Cameroun,1982,31.2423468082886,7.51620260513882,13.2570198610704,6611255963.83584,80796978.2138794,-5.83460980458649
CMR,Cameroun,1983,30.8924383400516,6.86683056547592,16.6312264100787,6870200009.90065,170415619.353292,-5.9948599322349
CMR,Cameroun,1984,25.2309541269737,7.47457254362303,11.3733220902937,7311938026.36713,63101789.2347198,-2.31017210026612
CMR,Cameroun,1985,22.8788084312304,8.06316167125891,8.50837434391595,8544810497.9889,142274709.699133,-6.57147038115268
CMR,Cameroun,1986,24.0178157373785,6.77166308397663,7.77002498703532,11857056199.0765,70742510.2763067,-3.81060830050962
CMR,Cameroun,1987,25.868992426356,-2.14665021536007,13.140499844701,13049659981.1373,78283064.9884915,-6.84107201447678
CMR,Cameroun,1988,24.3934408921358,-7.82363197491021,1.6823326077121,12236057362.4917,188154480.853756,-3.48526332934172
CMR,Cameroun,1989,25.0727846522469,-1.81912051186825,-1.66552589550544,11012566195.0255,91892959.2079299,-2.63243288288055
CMR,Cameroun,1990,26.3773860496436,-6.10569764600656,1.09938128383608,12314482627.8454,37075058.9640231,-4.4759603893945
CMR,Cameroun,1991,26.4186571644135,-3.80859937279318,0.0600513305003455,11840192296.3893,53628537.0697255,-2.83515953017038
CMR,Cameroun,1992,12.5202643154533,-3.10000321081914,-0.0160550458717418,12071775335.0433,30352645.0823243,-3.0300754690908
